time,healthy,sick,recovered,dead
2.510000,87,102,1,6
2.515000,84,105,1,6
2.520000,83,106,1,6
2.525000,81,108,1,6
2.530000,79,110,1,6
2.535000,78,111,1,6
2.540000,78,111,1,6
2.545000,78,111,1,6
2.550000,76,112,1,7
2.555000,76,112,1,7
2.560000,76,112,1,7
2.565000,75,112,1,8
2.570000,74,113,1,8
2.575000,74,113,1,8
2.580000,74,113,1,8
2.585000,74,113,1,8
2.590000,72,115,1,8
2.595000,72,115,1,8
2.600000,72,115,1,8
2.605000,72,115,1,8
2.610000,71,116,1,8
2.615000,70,117,1,8
2.620000,70,117,1,8
2.625000,70,117,1,8
2.630000,69,118,1,8
2.635000,68,119,1,8
2.640000,67,120,1,8
2.645000,67,120,1,8
2.650000,65,122,1,8
2.655000,65,122,1,8
2.660000,64,123,1,8
2.665000,64,123,1,8
2.670000,64,123,1,8
2.675000,64,123,1,8
2.680000,64,123,1,8
2.685000,64,123,1,8
2.690000,64,123,1,8
2.695000,64,123,1,8
2.700000,64,123,1,8
2.705000,64,123,1,8
2.710000,63,124,1,8
2.715000,61,125,1,9
2.720000,60,126,1,9
2.725000,60,126,1,9
2.730000,59,127,1,9
2.735000,58,128,1,9
2.740000,56,130,1,9
2.745000,55,131,1,9
2.750000,53,133,1,9
2.755000,52,134,1,9
2.760000,52,134,1,9
2.765000,51,135,1,9
2.770000,50,136,1,9
2.775000,47,139,1,9
2.780000,46,140,1,9
2.785000,45,141,1,9
2.790000,44,142,1,9
2.795000,43,143,1,9
2.800000,43,143,1,9
2.805000,43,143,1,9
2.810000,42,144,1,9
2.815000,42,144,1,9
2.820000,41,145,1,9
2.825000,41,145,1,9
2.830000,41,145,1,9
2.835000,41,145,1,9
2.840000,41,145,1,9
2.845000,41,145,1,9
2.850000,41,145,1,9
2.855000,39,147,1,9
2.860000,39,147,1,9
2.865000,38,148,1,9
2.870000,36,150,1,9
2.875000,36,150,1,9
2.880000,36,150,1,9
2.885000,36,150,1,9
2.890000,36,150,1,9
2.895000,34,152,1,9
2.900000,34,152,1,9
2.905000,30,156,1,9
2.910000,29,156,1,10
2.915000,28,157,1,10
2.920000,28,157,1,10
2.925000,27,158,1,10
2.930000,27,158,1,10
2.935000,27,158,1,10
2.940000,27,158,1,10
2.945000,27,158,1,10
2.950000,27,158,1,10
2.955000,27,157,2,10
2.960000,27,157,2,10
2.965000,27,157,2,10
2.970000,26,157,3,10
2.975000,26,157,3,10
2.980000,26,157,3,10
2.985000,26,157,3,10
2.990000,26,157,3,10
2.995000,26,157,3,10
3.000000,26,157,3,10
3.005000,26,157,3,10
3.010000,26,156,4,10
3.015000,26,156,4,10
3.020000,26,156,4,10
3.025000,26,156,4,10
3.030000,25,157,4,10
3.035000,25,157,4,10
3.040000,22,160,4,10
3.045000,22,160,4,10
3.050000,22,160,4,10
3.055000,21,161,4,10
3.060000,21,161,4,10
3.065000,21,161,4,10
3.070000,21,161,4,10
3.075000,21,161,4,10
3.080000,21,161,4,10
3.085000,21,160,5,10
3.090000,20,161,5,10
3.095000,19,162,5,10
3.100000,19,162,5,10
3.105000,19,162,5,10
3.110000,18,163,5,10
3.115000,17,164,5,10
3.120000,17,164,5,10
3.125000,17,164,5,10
3.130000,17,164,5,10
3.135000,17,164,5,10
3.140000,17,164,5,10
3.145000,17,164,5,10
3.150000,17,164,5,10
3.155000,17,164,5,10
3.160000,16,164,5,11
3.165000,16,164,5,11
3.170000,16,164,5,11
3.175000,16,164,5,11
3.180000,15,165,5,11
3.185000,15,165,5,11
3.190000,15,165,5,11
3.195000,15,165,5,11
3.200000,15,165,5,11
3.205000,15,165,5,11
3.210000,15,165,5,11
3.215000,15,165,5,11
3.220000,15,165,5,11
3.225000,14,166,5,11
3.230000,12,168,5,11
3.235000,12,168,5,11
3.240000,12,168,5,11
3.245000,11,169,5,11
3.250000,11,169,5,11
3.255000,10,170,5,11
3.260000,9,171,5,11
3.265000,8,171,6,11
3.270000,8,171,6,11
3.275000,8,171,6,11
3.280000,8,171,6,11
3.285000,8,170,7,11
3.290000,8,170,7,11
3.295000,8,170,7,11
3.300000,8,170,7,11
3.305000,8,170,7,11
3.310000,8,170,7,11
3.315000,8,170,7,11
3.320000,8,170,7,11
3.325000,8,170,7,11
3.330000,7,171,7,11
3.335000,7,171,7,11
3.340000,7,171,7,11
3.345000,7,171,7,11
3.350000,7,171,7,11
3.355000,7,171,7,11
3.360000,7,171,7,11
3.365000,7,171,7,11
3.370000,7,171,7,11
3.375000,7,170,8,11
3.380000,7,169,9,11
3.385000,6,170,9,11
3.390000,6,170,9,11
3.395000,6,170,9,11
3.400000,6,170,9,11
3.405000,6,170,9,11
3.410000,6,170,9,11
3.415000,6,170,9,11
3.420000,6,170,9,11
3.425000,6,170,9,11
3.430000,6,170,9,11
3.435000,6,170,9,11
3.440000,6,170,9,11
3.445000,6,170,9,11
3.450000,6,170,9,11
3.455000,6,170,9,11
3.460000,6,167,12,11
3.465000,6,167,12,11
3.470000,6,167,12,11
3.475000,6,167,12,11
3.480000,6,167,12,11
3.485000,6,167,12,11
3.490000,6,167,12,11
3.495000,6,167,12,11
3.500000,5,168,12,11
3.505000,5,168,12,11
3.510000,5,167,13,11
3.515000,5,167,13,11
3.520000,5,166,14,11
3.525000,5,166,14,11
3.530000,5,166,14,11
3.535000,5,166,14,11
3.540000,5,166,14,11
3.545000,5,166,14,11
3.550000,5,166,14,11
3.555000,5,165,15,11
3.560000,5,164,16,11
3.565000,5,164,16,11
3.570000,5,164,16,11
3.575000,5,164,16,11
3.580000,5,163,17,11
3.585000,4,164,17,11
3.590000,4,162,19,11
3.595000,4,162,19,11
3.600000,4,162,19,11
3.605000,4,162,19,11
3.610000,4,162,19,11
3.615000,4,162,19,11
3.620000,4,162,19,11
3.625000,4,162,19,11
3.630000,4,162,19,11
3.635000,4,162,19,11
3.640000,4,162,19,11
3.645000,4,162,19,11
3.650000,4,162,19,11
3.655000,4,162,19,11
3.660000,4,161,20,11
3.665000,4,161,20,11
3.670000,4,161,20,11
3.675000,4,161,20,11
3.680000,4,161,20,11
3.685000,4,161,20,11
3.690000,4,161,20,11
3.695000,4,160,21,11
3.700000,4,158,23,11
3.705000,4,158,23,11
3.710000,4,158,23,11
3.715000,4,158,23,11
3.720000,3,158,23,12
3.725000,3,158,23,12
3.730000,3,158,23,12
3.735000,3,158,23,12
3.740000,3,158,23,12
3.745000,3,158,23,12
3.750000,3,158,23,12
3.755000,3,158,23,12
3.760000,3,158,23,12
3.765000,3,158,23,12
3.770000,3,157,24,12
3.775000,3,157,24,12
3.780000,3,157,24,12
3.785000,2,158,24,12
3.790000,2,158,24,12
3.795000,2,156,26,12
3.800000,2,155,27,12
3.805000,2,155,27,12
3.810000,2,155,27,12
3.815000,2,154,28,12
3.820000,2,154,28,12
3.825000,2,153,29,12
3.830000,2,153,29,12
3.835000,2,151,31,12
3.840000,2,151,31,12
3.845000,2,151,31,12
3.850000,2,151,31,12
3.855000,2,150,32,12
3.860000,2,150,32,12
3.865000,2,150,32,12
3.870000,2,150,32,12
3.875000,2,149,33,12
3.880000,2,149,33,12
3.885000,2,148,34,12
3.890000,2,146,36,12
3.895000,1,147,36,12
3.900000,1,145,38,12
3.905000,1,143,40,12
3.910000,1,143,40,12
3.915000,1,143,40,12
3.920000,1,143,40,12
